27.11   8.16___14:16:39 1       0     1     27.11+++   1     
2.5     8.16___14:16:58 2       0     2     14.8+++   2     
9       8.16___14:17:26 3       0     3     9+++   3     
1       8.16___14:17:37 4       1     3     5.75---   2     
1.72    8.16___14:17:53 5       2     3     2.5---   1     
10.77   8.16___14:18:40 1       0     1     10.77   +++   1     
1.95    8.16___14:18:56 2       1     1     6.36    ---   0     
1.07    8.16___14:19:9  3       2     1     1.95    ---   -1    
1.16    8.16___14:19:22 4       3     1     1.55    ---   -2    
1.01    8.16___14:19:33 5       4     1     1.15    ---   -3    
1.11    8.16___14:19:46 6       5     1     1.13    ---   -4    
9.51    8.16___14:20:15 7       5     2     1.15    +++   -3    
5.43    8.16___14:20:38 8       5     3     1.55    +++   -2    
1.24    8.16___14:20:52 9       6     3     1.24    ---   -3    
1.11    8.16___14:21:5  10      7     3     1.2     ---   -4    
2.04    8.16___14:21:22 11      7     4     1.24    +++   -3    
10.36   8.16___14:21:52 12      7     5     1.59    +++   -2    
1       8.16___14:22:2  13      8     5     1.24    ---   -3    
5.3     8.16___14:22:26 14      8     6     1.59    +++   -2    
3.53    8.16___14:22:47 15      8     7     1.95    +++   -1    
1.16    8.16___14:23:0  16      9     7     1.59    ---   -2    
4.44    8.16___14:23:22 17      9     8     1.95    +++   -1    
3.65    8.16___14:23:43 18      9     9     1.99    +++   0     
1.34    8.16___14:23:57 19      10    9     1.95    ---   -1    
3.68    8.16___14:24:18 20      10    10    1.99    +++   0     
3.21    8.16___14:24:38 21      10    11    2.04    +++   1     
17.56   8.16___14:25:14 22      10    12    2.62    +++   2     
1.3     8.16___14:25:28 23      11    12    2.04    ---   1     
1.6     8.16___14:25:44 24      12    12    1.99    ---   0     
1.11    8.16___14:25:56 25      13    12    1.95    ---   -1    
1.85    8.16___14:26:13 26      14    12    1.9     ---   -2    
1.16    8.16___14:26:26 27      15    12    1.85    ---   -3    
4.75    8.16___14:26:49 28      15    13    1.9     +++   -2    
1.83    8.16___14:27:5  29      16    13    1.85    ---   -3    
4.72    8.16___14:27:28 30      16    14    1.9     +++   -2    
2.29    8.16___14:27:45 31      16    15    1.95    +++   -1    
1.1     8.16___14:27:58 32      17    15    1.9     ---   -2    
1.69    8.16___14:28:14 33      18    15    1.85    ---   -3    
1       8.16___14:28:24 34      19    15    1.84    ---   -4    
2.81    8.16___14:28:43 35      19    16    1.85    +++   -3    
2.53    8.16___14:29:2  36      19    17    1.9     +++   -2    
15.03   8.16___14:29:36 37      19    18    1.95    +++   -1    
1       8.16___14:29:47 38      20    18    1.9     ---   -2    
1.23    8.16___14:30:0  39      21    18    1.85    ---   -3    
1.35    8.16___14:30:15 40      22    18    1.84    ---   -4    
1.19    8.16___14:30:28 41      23    18    1.83    ---   -5    
