1.73 12:15:0:11 Нийт:0 X:1 W:0 Infinity ---
4.09 12:15:0:33 Нийт:1 X:1 W:1 5.82 +++
3.01 12:15:0:53 Нийт:2 X:1 W:2 4.41 +++
13.5 12:15:1:25 Нийт:3 X:1 W:3 7.44 +++
1.06 12:15:1:38 Нийт:4 X:2 W:3 5.84 ---
1.87 12:15:1:54 Нийт:5 X:3 W:3 5.05 ---
1.28 12:15:2:8 Нийт:6 X:4 W:3 4.42 ---
17.35 12:15:2:44 Нийт:7 X:4 W:4 6.27 +++
2.39 12:15:3:2 Нийт:8 X:4 W:5 5.78 +++
1.33 12:15:3:16 Нийт:9 X:5 W:5 5.29 ---
2.11 12:15:3:33 Нийт:10 X:5 W:6 4.97 +++
1.07 12:15:3:46 Нийт:11 X:6 W:6 4.61 ---
1.19 12:15:3:59 Нийт:12 X:7 W:6 4.33 ---
1.1 12:15:4:11 Нийт:13 X:8 W:6 4.08 ---
2.8 12:15:4:30 Нийт:14 X:8 W:7 3.99 +++
31.2 12:15:5:16 Нийт:15 X:8 W:8 5.8 +++
2.73 12:15:5:35 Нийт:16 X:8 W:9 5.61 +++
9.64 12:15:6:4 Нийт:17 X:8 W:10 5.85 +++
1.08 12:15:6:17 Нийт:18 X:9 W:10 5.58 ---
2.1 12:15:6:34 Нийт:19 X:9 W:11 5.4 +++
3.51 12:15:6:55 Нийт:20 X:9 W:12 5.3 +++
2.01 12:15:7:15 Нийт:21 X:9 W:13 5.15 +++
1.01 12:15:7:26 Нийт:22 X:10 W:13 4.96 ---
1.38 12:15:7:40 Нийт:23 X:11 W:13 4.8 ---
1.52 12:15:7:55 Нийт:24 X:12 W:13 4.66 ---
1.26 12:15:8:9 Нийт:25 X:13 W:13 4.53 ---
1.47 12:15:8:24 Нийт:26 X:14 W:13 4.41 ---
1.52 12:15:8:39 Нийт:27 X:15 W:13 4.3 ---
1.95 12:15:8:56 Нийт:28 X:16 W:13 4.22 ---
1.13 12:15:9:9 Нийт:29 X:17 W:13 4.11 ---
5.71 12:15:9:33 Нийт:30 X:17 W:14 4.17 +++
1.47 12:15:9:48 Нийт:31 X:18 W:14 4.08 ---
1.29 12:15:10:2 Нийт:32 X:19 W:14 3.99 ---
1.02 12:15:10:13 Нийт:33 X:20 W:14 3.9 ---
1 12:15:10:24 Нийт:34 X:21 W:14 3.82 ---
7.03 12:15:10:50 Нийт:35 X:21 W:15 3.91 +++
2.29 12:15:11:8 Нийт:36 X:21 W:16 3.86 +++
26.05 12:15:11:50 Нийт:37 X:21 W:17 4.46 +++
17.46 12:15:12:26 Нийт:38 X:21 W:18 4.8 +++
13.69 12:15:12:59 Нийт:39 X:21 W:19 5.03 +++
3.64 12:15:13:20 Нийт:40 X:21 W:20 5 +++
1.88 12:15:13:37 Нийт:41 X:22 W:20 4.92 ---
1.3 12:15:13:51 Нийт:42 X:23 W:20 4.83 ---
1.07 12:15:14:3 Нийт:43 X:24 W:20 4.75 ---
1.29 12:15:14:17 Нийт:44 X:25 W:20 4.67 ---
1.94 12:15:14:33 Нийт:45 X:26 W:20 4.61 ---
1.39 12:15:14:48 Нийт:46 X:27 W:20 4.54 ---
1.75 12:15:15:4 Нийт:47 X:28 W:20 4.48 ---
1.8 12:15:15:20 Нийт:48 X:29 W:20 4.42 ---
24.73 12:15:16:2 Нийт:49 X:29 W:21 4.84 +++
4.45 12:15:16:24 Нийт:50 X:29 W:22 4.83 +++
1.1 12:15:16:36 Нийт:51 X:30 W:22 4.75 ---
2.33 12:15:16:54 Нийт:52 X:30 W:23 4.71 +++
1 12:15:17:5 Нийт:53 X:31 W:23 4.64 ---
1 12:15:17:15 Нийт:54 X:32 W:23 4.57 ---
1.26 12:15:17:29 Нийт:55 X:33 W:23 4.51 ---
2.3 12:15:17:47 Нийт:56 X:33 W:24 4.47 +++
8 12:15:18:14 Нийт:57 X:33 W:25 4.53 +++
1.11 12:15:18:27 Нийт:58 X:34 W:25 4.47 ---
2.19 12:15:18:44 Нийт:59 X:34 W:26 4.43 +++
29.57 12:15:19:29 Нийт:60 X:34 W:27 4.85 +++
1.65 12:15:19:44 Нийт:61 X:35 W:27 4.8 ---
2.98 12:15:20:4 Нийт:62 X:35 W:28 4.77 +++
11.92 12:15:20:35 Нийт:63 X:35 W:29 4.88 +++
1.07 12:15:20:47 Нийт:64 X:36 W:29 4.83 ---
2.83 12:15:21:6 Нийт:65 X:36 W:30 4.79 +++
1.09 12:15:21:19 Нийт:66 X:37 W:30 4.74 ---
1.6 12:15:21:34 Нийт:67 X:38 W:30 4.69 ---
1.08 12:15:21:47 Нийт:68 X:39 W:30 4.64 ---
3.29 12:15:22:7 Нийт:69 X:39 W:31 4.62 +++
1.33 12:15:22:21 Нийт:70 X:40 W:31 4.57 ---
1.65 12:15:22:37 Нийт:71 X:41 W:31 4.53 ---
1.02 12:15:22:48 Нийт:72 X:42 W:31 4.48 ---
1.42 12:15:23:3 Нийт:73 X:43 W:31 4.44 ---
12.13 12:15:23:34 Нийт:74 X:43 W:32 4.54 +++
1.22 12:15:23:48 Нийт:75 X:44 W:32 4.5 ---
2.38 12:15:24:6 Нийт:76 X:44 W:33 4.47 +++
1.84 12:15:24:22 Нийт:77 X:45 W:33 4.44 ---
23.47 12:15:25:3 Нийт:78 X:45 W:34 4.68 +++
1.27 12:15:25:17 Нийт:79 X:46 W:34 4.64 ---
2.6 12:15:25:35 Нийт:80 X:46 W:35 4.61 +++
