2.43 12:16:0:6 Нийт:0 X:0 W:1 Infinity +++
2.61 12:16:0:25 Нийт:1 X:0 W:2 5.04 +++
1.02 12:16:0:36 Нийт:2 X:1 W:2 3.03 ---
1.14 12:16:0:49 Нийт:3 X:2 W:2 2.4 ---
4.4 12:16:1:11 Нийт:4 X:2 W:3 2.9 +++
2.1 12:16:1:29 Нийт:5 X:2 W:4 2.74 +++
1.15 12:16:1:42 Нийт:6 X:3 W:4 2.47 ---
2.9 12:16:2:1 Нийт:7 X:3 W:5 2.53 +++
1.01 12:16:2:12 Нийт:8 X:4 W:5 2.34 ---
8.72 12:16:2:40 Нийт:9 X:4 W:6 3.05 +++
1 12:16:2:51 Нийт:10 X:5 W:6 2.84 ---
1.04 12:16:3:0 Нийт:11 X:6 W:6 2.68 ---
6.68 12:16:3:26 Нийт:12 X:6 W:7 3.01 +++
1.58 12:16:3:41 Нийт:13 X:7 W:7 2.9 ---
2.96 12:16:4:0 Нийт:14 X:7 W:8 2.91 +++
2.94 12:16:4:20 Нийт:15 X:7 W:9 2.91 +++
1.77 12:16:4:36 Нийт:16 X:8 W:9 2.84 ---
1.98 12:16:4:53 Нийт:17 X:9 W:9 2.79 ---
13.73 12:16:5:26 Нийт:18 X:9 W:10 3.39 +++
1.63 12:16:5:41 Нийт:19 X:10 W:10 3.3 ---
8.87 12:16:6:10 Нийт:20 X:10 W:11 3.58 +++
1.69 12:16:6:25 Нийт:21 X:11 W:11 3.49 ---
2.57 12:16:6:48 Нийт:22 X:11 W:12 3.45 +++
1.99 12:16:7:4 Нийт:23 X:12 W:12 3.38 ---
1.4 12:16:7:19 Нийт:24 X:13 W:12 3.3 ---
3.88 12:16:7:41 Нийт:25 X:13 W:13 3.32 +++
4.13 12:16:8:2 Нийт:26 X:13 W:14 3.35 +++
1.52 12:16:8:17 Нийт:27 X:14 W:14 3.29 ---
2.39 12:16:8:35 Нийт:28 X:14 W:15 3.25 +++
1.36 12:16:8:49 Нийт:29 X:15 W:15 3.19 ---
1.15 12:16:9:2 Нийт:30 X:16 W:15 3.12 ---
2.35 12:16:9:20 Нийт:31 X:16 W:16 3.09 +++
1.05 12:16:9:32 Нийт:32 X:17 W:16 3.03 ---
4 12:16:9:54 Нийт:33 X:17 W:17 3.06 +++
7.86 12:16:10:21 Нийт:34 X:17 W:18 3.2 +++
1.47 12:16:10:36 Нийт:35 X:18 W:18 3.15 ---
1.86 12:16:10:52 Нийт:36 X:19 W:18 3.12 ---
1.38 12:16:11:7 Нийт:37 X:20 W:18 3.07 ---
1.83 12:16:11:23 Нийт:38 X:21 W:18 3.04 ---
3.12 12:16:11:43 Нийт:39 X:21 W:19 3.04 +++
2.62 12:16:12:1 Нийт:40 X:21 W:20 3.03 +++
9.37 12:16:12:30 Нийт:41 X:21 W:21 3.18 +++
